ONGs

Fecha de creación de la lista: 29 de octubre de 2025 11:13

Filtros aplicados: Provincia de domicilio: Córdoba; 

Código interno SISA ;Nombre de la organización;CUIT;Provincia de domicilio;Domicilio completo;Teléfono;Correo electrónico
2916;ACEVIX GROUP SATIVA ASOCIACION CIVIL;30718188519;Córdoba;General Deheza 886  - LO - Córdoba;3816808491;veronacve@gmail.com
1152;ASOC CIVIL PRIMEROS AUXILIOS, BUSQUEDA Y RESCATE;30716758741;Córdoba;JUAN JOSE PASO 471  - LO - Córdoba;3547651612;dpatrito@gmail.com
2772;ASOCIACION CIVIL ALPHAWEED;30718212088;Córdoba;Santa Fe 1541  - LO - Córdoba;3534189522;null
1254;ASOCIACION CIVIL BIGBANGCBA;30717687759;Córdoba;Colombia 2135  - LO - Córdoba;3512225180;cordobabigbang@gmail.com
1753;ASOCIACION CIVIL BOAVIDAVCP;30717894592;Córdoba;Costanera Sud 2230  - LO - Córdoba;3515392265;clercpablo@hotmail.com
2945;ASOCIACION CIVIL CAMINO NATURAL;33718193309;Córdoba;Rivadavia 3355  - LO - Córdoba;3515942904;juanmartin1000@gmail.com
2212;ASOCIACION CIVIL CANNABICULTORES UNIDOS;30717905985;Córdoba;DE LOS EXTREMEÑOS 5293  - LO - Córdoba;3516223211;alekaczorowski1@gmail.com
1314;ASOCIACION CIVIL CANNABIS SOCIAL CLUB;30717707563;Córdoba;Mariano Moreno 1035  Dpto:A - LO - Córdoba;3516174197;cscmedicinal@gmail.com
1217;ASOCIACION CIVIL COGOLLOS CORDOBA;30717286126;Córdoba;General Paz 1127  - LO - Córdoba;3515153650;mcerquatti@hotmail.com
1255;ASOCIACION CIVIL COLECTIVO CANNABICO TRASLASIERRA;30717536351;Córdoba;Las Garzas 0  - LO - Córdoba;3544505650;colectivocannabicotraslasierra@gmail.com
2512;ASOCIACION CIVIL COLOR CANNABIS;30718233662;Córdoba;virgen de guadalupe 4668  - LO - Córdoba;03512284584;juantoutouchian@gmail.com
2553;ASOCIACION CIVIL CONSCIENSATIVA;30718233778;Córdoba;ALVEAR 215  - LO - Córdoba;3547446297;jpassera@estudiocontablepo.com.ar
2377;ASOCIACION CIVIL CULTIVA SANO;33718161539;Córdoba;Viamonte 785  - LO - Córdoba;3516784539;martin.matias.h@gmail.com
1258;ASOCIACION CIVIL CULTIVADORES DE LA DOCTA;30717576191;Córdoba;25 de Mayo 496  Piso:4 Dpto:C - LO - Córdoba;3518127882;cultivadoresdeladocta@gmail.com
2336;ASOCIACION CIVIL CULTIVANDO SALUD;30717678490;Córdoba;Roque Saenz Peña   - LO - Córdoba;3541681330;juancruz-frattini@hotmail.com
2662;ASOCIACION CIVIL DE CULTIVADORES Y USUARIES DE CAN;30717839435;Córdoba;Faldas del Uritorco - Calle 7 1235  - LO - Córdoba;1151656918;estudio4veinte@gmail.com
2253;ASOCIACION CIVIL GREENMALLIN;30718058828;Córdoba;CALLE N°29, LOTE N°2, MANZANA N°58   - LO - Córdoba;3541618451;nicolasstrembel@hotmail.com
1556;ASOCIACION CIVIL KUSHLAB;33717799289;Córdoba;Paso de los Andes 175  - LO - Córdoba;3512386159;omartarif@gmail.com
1692;ASOCIACION CIVIL LARRECANN DE SAN VICENTE;30717914828;Córdoba;Pedernera 1044  - LO - Córdoba;3515483165;javiercorx@gmail.com
2075;ASOCIACION CIVIL LAS CHULAS CLUB DE CULTIVO SOLIDA;30718075285;Córdoba;Calle Publica 4 3805  - LO - Córdoba;3512077977;matiasolocco93@hotmail.com
3575;ASOCIACION CIVIL NUBE VOLADORA;30718678214;Córdoba;Manzana 35 Lote 11   - LO - Córdoba;3541277649;juangonzalezosimani.89@gmail.com
2896;ASOCIACION CIVIL PLANTANDO ANDO;30718267494;Córdoba;   - LO - Córdoba;2901490160;fhgrella@gmail.com
1051;ASOCIACION CIVIL SATIVA MADRE;30717155943;Córdoba;suipacha 1322  - LO - Córdoba;3547523594;infosativamadre@gmail.com
1576;ASOCIACION CIVIL UNIDOS POR EL CANNABIS (ACUPEC);30717839427;Córdoba;José María Bedoya 1115  - LO - Córdoba;3515645597;sofirezk123@gmail.com
2052;ASOCIACION CIVIL VERDEFLOR;30718067207;Córdoba;Roque Saenz Peña 2393  - LO - Córdoba;3541235854;verdeflorong@outlook.com.ar
2778;ASOCIACION CIVIL WEED CLUB;30718234553;Córdoba;Manzana 26 - Lote 14   - LO - Córdoba;3874859233;palomino.pas@gmail.com
2452;ASOCIACION HOSPITAL INFANTIL;30651844440;Córdoba;Juan Antonio Lavalleja 3050  - LO - Córdoba;3512027460;asociacionhi@gmail.com
